seconds,timestamp,tc_201
317.027,2023-07-10 07:11:11.443,22.804355
318.111,2023-07-10 07:11:12.566,22.805663
319.048,2023-07-10 07:11:13.517,22.807147
320.079,2023-07-10 07:11:14.554,22.804642
321.108,2023-07-10 07:11:15.590,22.797258
322.035,2023-07-10 07:11:16.454,22.802719
323.059,2023-07-10 07:11:17.491,22.800041
324.105,2023-07-10 07:11:19.133,22.808728
325.186,2023-07-10 07:11:19.651,22.805763
326.096,2023-07-10 07:11:20.515,22.821667
327.01,2023-07-10 07:11:21.466,22.810029
328.06,2023-07-10 07:11:22.589,22.81182
329.016,2023-07-10 07:11:23.453,22.800307
330.06,2023-07-10 07:11:24.490,22.816612
331.099,2023-07-10 07:11:25.526,22.812504
332.019,2023-07-10 07:11:26.477,22.800922
333.058,2023-07-10 07:11:27.514,22.781667
334.104,2023-07-10 07:11:28.550,22.801403
335.035,2023-07-10 07:11:29.501,22.809947
336.093,2023-07-10 07:11:30.538,22.794416
337.013,2023-07-10 07:11:31.488,22.790405
338.046,2023-07-10 07:11:32.525,22.791549
339.085,2023-07-10 07:11:33.562,22.806001
340.002,2023-07-10 07:11:34.426,22.80377
341.051,2023-07-10 07:11:35.549,22.807492
342.098,2023-07-10 07:11:36.586,22.79866
343.021,2023-07-10 07:11:37.450,22.808171
344.048,2023-07-10 07:11:38.486,22.811572
345.087,2023-07-10 07:11:39.523,22.804977
346.001,2023-07-10 07:11:40.474,22.813643
347.051,2023-07-10 07:11:41.510,22.801941
348.095,2023-07-10 07:11:42.547,22.802695
349.015,2023-07-10 07:11:43.498,22.81538
350.053,2023-07-10 07:11:44.534,22.823554
351.089,2023-07-10 07:11:45.571,22.810638
352.006,2023-07-10 07:11:46.435,22.811304
353.047,2023-07-10 07:11:47.472,22.818658
354.096,2023-07-10 07:11:48.595,22.817928
355.021,2023-07-10 07:11:49.459,22.800924
356.065,2023-07-10 07:11:50.496,22.794735
357.102,2023-07-10 07:11:51.619,22.808798
358.048,2023-07-10 07:11:52.483,22.799562
359.086,2023-07-10 07:11:53.520,22.799638
360.01,2023-07-10 07:11:54.470,22.797146
361.059,2023-07-10 07:11:55.507,22.792666
362.099,2023-07-10 07:11:56.544,22.802303
363.02,2023-07-10 07:11:57.494,22.794114
364.048,2023-07-10 07:11:58.531,22.803969
365.091,2023-07-10 07:11:59.568,22.806136
366.011,2023-07-10 07:12:00.432,22.820312
367.049,2023-07-10 07:12:01.469,22.802791
368.094,2023-07-10 07:12:02.592,22.805658
369.013,2023-07-10 07:12:03.456,22.802879
370.055,2023-07-10 07:12:04.493,22.81449
371.096,2023-07-10 07:12:05.530,22.79781
372.013,2023-07-10 07:12:06.480,22.817251
373.059,2023-07-10 07:12:07.517,22.804332
374.104,2023-07-10 07:12:08.554,22.798802
375.038,2023-07-10 07:12:09.504,22.799379
376.07,2023-07-10 07:12:10.541,22.801764
377.108,2023-07-10 07:12:11.578,22.7966
378.04,2023-07-10 07:12:12.528,22.810005
379.091,2023-07-10 07:12:13.565,22.808615
380.008,2023-07-10 07:12:14.429,22.80363
381.054,2023-07-10 07:12:15.552,22.819381
382.094,2023-07-10 07:12:16.589,22.815145
383.019,2023-07-10 07:12:17.453,22.809858
384.067,2023-07-10 07:12:18.490,22.80901
385.101,2023-07-10 07:12:19.613,22.804161
386.047,2023-07-10 07:12:20.477,22.794874
387.098,2023-07-10 07:12:21.600,22.800953
388.027,2023-07-10 07:12:22.464,22.786017
389.054,2023-07-10 07:12:23.501,22.81469
390.098,2023-07-10 07:12:24.538,22.78744
391.022,2023-07-10 07:12:25.488,22.800791
392.057,2023-07-10 07:12:26.525,22.801578
393.096,2023-07-10 07:12:27.562,22.802154
394.017,2023-07-10 07:12:28.426,22.817944
395.068,2023-07-10 07:12:29.549,22.812279
396.116,2023-07-10 07:12:30.586,22.827115
397.04,2023-07-10 07:12:31.450,22.807541
398.069,2023-07-10 07:12:32.486,22.803714
399.108,2023-07-10 07:12:33.610,22.80766
400.043,2023-07-10 07:12:34.474,22.826975
401.095,2023-07-10 07:12:35.597,22.814682
402.021,2023-07-10 07:12:36.461,22.79669
403.052,2023-07-10 07:12:37.498,22.817423
404.098,2023-07-10 07:12:38.534,22.797151
405.018,2023-07-10 07:12:39.485,22.792237
406.07,2023-07-10 07:12:40.522,22.796834
407.105,2023-07-10 07:12:41.558,22.802705
408.031,2023-07-10 07:12:42.509,22.809273
409.069,2023-07-10 07:12:43.546,22.801943
410.101,2023-07-10 07:12:44.582,22.801917
411.034,2023-07-10 07:12:45.446,22.796641
412.068,2023-07-10 07:12:46.483,22.794547
413.101,2023-07-10 07:12:47.606,22.801604
414.045,2023-07-10 07:12:48.470,22.79177
415.096,2023-07-10 07:12:49.594,22.804059
416.015,2023-07-10 07:12:50.458,22.815361
417.064,2023-07-10 07:12:51.494,22.795877
418.094,2023-07-10 07:12:52.531,22.788302
419.012,2023-07-10 07:12:53.482,22.827067
420.062,2023-07-10 07:12:54.518,22.783684
421.004,2023-07-10 07:12:55.469,22.810402
422.048,2023-07-10 07:12:56.506,22.801886
423.086,2023-07-10 07:12:57.542,22.801202
424.112,2023-07-10 07:12:58.579,22.804202
425.053,2023-07-10 07:12:59.530,22.810247
426.094,2023-07-10 07:13:00.566,22.822077
427.012,2023-07-10 07:13:01.430,22.808077
428.055,2023-07-10 07:13:02.554,22.824734
429.1,2023-07-10 07:13:03.590,22.825383
430.032,2023-07-10 07:13:04.454,22.805358
431.068,2023-07-10 07:13:05.491,22.811499
